genotype,estimate,SE,quasiSE,quasiVar,environment,ref_gen
wh 507,0,0,0.176936086,0.031306379,Z2Y2021,wh 507
czh 15185,0.632685594,0.244820499,0.173247806,0.030014802,Z2Y2021,wh 507
czh 15303,0.72873296,0.253689828,0.179770048,0.03231727,Z2Y2021,wh 507
rhh 1520,0.518449384,0.246255541,0.171413835,0.029382703,Z2Y2021,wh 507
rhh 1601,0.642729278,0.245163797,0.16807651,0.028249713,Z2Y2021,wh 507
wh 508,0.546836321,0.659254007,0.632168344,0.399636815,Z2Y2021,wh 507
wh 605,0.22226973,0.253559687,0.181270789,0.032859099,Z2Y2021,wh 507
wh 507,0,0,0.40451036,0.163628632,Z2Y2022,wh 507
ckdhh 160404,0.740585448,0.521352906,0.371023643,0.137658544,Z2Y2022,wh 507
ckdhh 170121,0.921561301,0.526444077,0.391545244,0.153307678,Z2Y2022,wh 507
czh 15185,1.024001255,0.451855834,0.161726488,0.026155457,Z2Y2022,wh 507
rhh 1520,1.021609058,0.438609825,0.15554202,0.02419332,Z2Y2022,wh 507
rhh 1601,1.180492019,0.447143804,0.163195315,0.026632711,Z2Y2022,wh 507
rhm 1409,-0.184446451,0.566177619,0.4338069,0.188188427,Z2Y2022,wh 507
wh 605,0.485311701,0.447514756,0.164600328,0.027093268,Z2Y2022,wh 507
wh 507,0,0,0.164099406,0.026928615,Z3Y2021,wh 507
ckdhh 170121,-0.313273296,0.289899313,0.232583267,0.054094976,Z3Y2021,wh 507
czh 15185,0.593190513,0.306446849,0.272227198,0.074107647,Z3Y2021,wh 507
rhh 1520,0.049915586,0.300371754,0.263060492,0.069200822,Z3Y2021,wh 507
rhh 1601,0.339998785,0.304712326,0.268426136,0.07205259,Z3Y2021,wh 507
rhm 1402,-0.722107037,0.310290635,0.254681719,0.064862778,Z3Y2021,wh 507
rhm 1409,-0.096499759,0.287817555,0.232996704,0.054287464,Z3Y2021,wh 507
wh 504,-0.349990075,0.288376464,0.227489801,0.05175161,Z3Y2021,wh 507
wh 508,0.248119801,0.224676706,0.156111442,0.024370782,Z3Y2021,wh 507
wh 509,-0.240462031,0.327773448,0.275528638,0.07591603,Z3Y2021,wh 507
wh 507,0,0,0.269319653,0.072533076,Z3Y2022,wh 507
ckdhh 160387,0.439411461,0.520412429,0.473209387,0.223927124,Z3Y2022,wh 507
ckdhh 160404,1.278928449,0.37420249,0.261010259,0.068126355,Z3Y2022,wh 507
ckdhh 170121,1.126660578,0.373469815,0.257259595,0.066182499,Z3Y2022,wh 507
ckhmln 170241,0.531095658,0.507836327,0.446047408,0.19895829,Z3Y2022,wh 507
czh 15185,1.287605652,0.489860117,0.406569598,0.165298838,Z3Y2022,wh 507
rhh 1520,0.940118391,0.460145759,0.364537532,0.132887612,Z3Y2022,wh 507
rhh 1601,1.120126412,0.451774021,0.353769405,0.125152792,Z3Y2022,wh 507
rhm 1409,0.531015272,0.373398426,0.254750171,0.06489765,Z3Y2022,wh 507
wh 509,0.658884836,0.507263567,0.429915348,0.184827207,Z3Y2022,wh 507
wh 605,0.975162752,0.46103043,0.372031949,0.138407771,Z3Y2022,wh 507
wh 507,0,0,0.218849578,0.047895138,Z4Y2021,wh 507
ckdhh 170121,0.652306867,0.395881605,0.290942752,0.084647685,Z4Y2021,wh 507
czh 15185,0.373415063,0.332499706,0.305196661,0.093145002,Z4Y2021,wh 507
czh 15303,1.06785806,0.532086382,0.515581324,0.265824102,Z4Y2021,wh 507
czh 15447,1.393375605,0.551494497,0.459714238,0.211337181,Z4Y2021,wh 507
rhh 1520,0.100019996,0.327447046,0.298920266,0.089353325,Z4Y2021,wh 507
rhh 1601,0.107338851,0.32214991,0.294619183,0.086800463,Z4Y2021,wh 507
rhm 1402,-0.755656248,0.396451373,0.29026015,0.084250955,Z4Y2021,wh 507
rhm 1409,-0.025099879,0.378028959,0.270839993,0.073354302,Z4Y2021,wh 507
wh 302,-1.129890133,0.542313443,0.450855416,0.203270606,Z4Y2021,wh 507
wh 403,-0.032640092,0.507283851,0.406399707,0.165160721,Z4Y2021,wh 507
wh 504,-0.22183275,0.396060815,0.287930951,0.082904232,Z4Y2021,wh 507
wh 508,0.227879338,0.296680031,0.23430014,0.054896556,Z4Y2021,wh 507
wh 509,-0.63511182,0.433956178,0.36634413,0.134208021,Z4Y2021,wh 507
wh 605,0.238981113,0.538301891,0.524788675,0.275403153,Z4Y2021,wh 507
wh 507,0,0,0.273930627,0.075037988,Z4Y2022,wh 507
ckdhh 160387,0.761799865,0.377529841,0.259502285,0.067341436,Z4Y2022,wh 507
ckdhh 160404,0.783831949,0.345653596,0.21233397,0.045085715,Z4Y2022,wh 507
ckdhh 170121,0.383662403,0.338368019,0.209334989,0.043821138,Z4Y2022,wh 507
ckhmln 170241,0.619692803,0.37704003,0.259574075,0.067378701,Z4Y2022,wh 507
czh 15185,1.082887457,0.452072966,0.355270869,0.12621739,Z4Y2022,wh 507
rhh 1520,0.001261298,0.433896414,0.333042341,0.110917201,Z4Y2022,wh 507
rhh 1601,0.094713708,0.450847114,0.350886907,0.123121622,Z4Y2022,wh 507
rhm 1409,-0.172476268,0.340632814,0.213020131,0.045377576,Z4Y2022,wh 507
wh 302,-0.432246773,0.513006303,0.417892119,0.174633823,Z4Y2022,wh 507
wh 403,0.437490046,0.485117491,0.382395975,0.146226682,Z4Y2022,wh 507
wh 504,-0.467123701,0.508901758,0.4133677,0.170872856,Z4Y2022,wh 507
wh 509,-0.44336606,0.445577136,0.370676075,0.137400752,Z4Y2022,wh 507
wh 605,-0.563839929,0.440002265,0.343222084,0.117801399,Z4Y2022,wh 507
wh 507,0,0,0.168967673,0.028550074,Z6Y2021,wh 507
ckdhh 170121,-0.809859936,0.492742464,0.44885872,0.201474151,Z6Y2021,wh 507
czh 15185,0.861231076,0.262235488,0.196143984,0.038472462,Z6Y2021,wh 507
czh 15303,0.342070945,0.349832862,0.313958727,0.098570082,Z6Y2021,wh 507
rhh 1520,0.311629678,0.255143521,0.192523116,0.03706515,Z6Y2021,wh 507
rhh 1601,0.549278329,0.253517792,0.190309935,0.036217871,Z6Y2021,wh 507
rhm 1402,-1.370345959,0.50301742,0.462359428,0.21377624,Z6Y2021,wh 507
rhm 1409,-0.503728933,0.497819233,0.448387596,0.201051436,Z6Y2021,wh 507
wh 504,-1.08680456,0.506864404,0.46329683,0.214643952,Z6Y2021,wh 507
wh 508,0.344667805,0.275496206,0.227081493,0.051566005,Z6Y2021,wh 507
wh 509,-0.166939653,0.471127333,0.431485622,0.186179842,Z6Y2021,wh 507
wh 605,-0.616031193,0.406382111,0.381204482,0.145316857,Z6Y2021,wh 507
wh 507,0,0,0.372838417,0.139008485,Z6Y2022,wh 507
ckdhh 160387,2.154222148,0.920888472,0.862209514,0.743405247,Z6Y2022,wh 507
ckdhh 160404,1.630754519,0.523243646,0.405235799,0.164216053,Z6Y2022,wh 507
ckdhh 170121,0.45738974,0.469836145,0.34765935,0.120867024,Z6Y2022,wh 507
ckhmln 170241,0.907370692,0.76510237,0.708894029,0.502530744,Z6Y2022,wh 507
czh 15185,0.438986798,0.452498055,0.225998897,0.051075501,Z6Y2022,wh 507
rhh 1520,0.377059118,0.450462095,0.220643791,0.048683683,Z6Y2022,wh 507
rhh 1601,0.355387001,0.462422993,0.230050543,0.052923252,Z6Y2022,wh 507
rhm 1409,0.307282984,0.524475009,0.385856244,0.148885041,Z6Y2022,wh 507
wh 509,-0.20244271,0.702603701,0.668165129,0.446444639,Z6Y2022,wh 507
wh 605,0.091674397,0.451807668,0.236793047,0.056070947,Z6Y2022,wh 507
